object_counts,physics_update_elapsed_time,render_elapsed_time
10,108,39
20,124,19
30,111,11
40,192,22
50,194,22
60,201,107
70,126,93
80,221,86
90,221,78
100,270,88
110,239,110
120,240,88
130,250,91
140,161,85
150,265,93
160,271,81
170,168,88
180,291,104
190,292,99
200,295,82
210,179,79
220,184,74
230,313,92
240,320,71
250,339,81
260,206,80
270,215,118
280,365,127
290,363,105
300,363,88
310,371,80
320,375,90
330,227,93
340,415,98
350,397,112
360,407,96
370,430,123
380,258,99
390,419,98
400,422,92
410,432,89
420,523,98
430,449,130
440,449,120
450,299,144
460,470,109
470,479,93
480,489,112
490,496,81
500,501,94
510,504,89
520,515,104
530,305,91
540,537,111
550,539,98
560,552,92
570,332,87
580,590,440
590,657,104
600,660,109
610,632,103
620,363,88
630,380,107
640,669,95
650,657,86
660,661,75
670,660,99
680,675,103
690,715,97
700,708,73
710,731,104
720,424,98
730,413,89
740,745,81
750,751,103
760,763,97
770,778,114
780,732,78
790,806,134
800,828,93
810,733,157
820,613,99
830,534,59
840,729,130
850,867,92
860,860,98
870,908,102
880,901,117
890,920,81
900,527,120
910,909,109
920,875,122
930,944,137
940,894,132
950,963,95
960,924,94
970,559,84
980,979,120
990,990,104
1000,661,74
1010,574,97
1020,585,87
1030,1022,109
1040,592,83
1050,889,93
1060,1012,98
1070,929,95
1080,1083,103
1090,910,123
1100,1160,101
1110,1164,116
1120,1011,116
1130,1129,131
1140,1109,127
1150,1061,202
1160,1164,167
1170,704,167
1180,1194,123
1190,1083,113
1200,718,80
1210,699,85
1220,1011,70
1230,1156,80
1240,1221,103
1250,701,100
1260,1249,105
1270,758,113
1280,1145,128
1290,737,129
1300,1325,164
1310,1342,164
1320,1380,124
1330,1342,133
1340,1093,209
1350,1255,91
1360,1406,126
1370,1288,150
1380,1403,117
1390,1506,101
1400,892,87
1410,1186,66
1420,825,83
1430,844,116
1440,1430,110
1450,1389,112
1460,1129,110
1470,1338,108
1480,1458,127
1490,1398,110
1500,1460,110
1510,1506,109
1520,1436,139
1530,1566,164
1540,1509,134
1550,1436,129
1560,915,133
1570,1435,178
1580,1388,146
1590,1608,131
1600,1887,107
1610,1469,141
1620,1484,112
1630,1615,121
1640,1475,111
1650,968,106
1660,1247,97
1670,1391,99
1680,1475,127
1690,1409,192
1700,1391,127
1710,1524,123
1720,1360,195
1730,1405,187
1740,1365,128
1750,1644,122
1760,1799,122
1770,1619,151
1780,1470,201
1790,1106,138
1800,1592,119
1810,1494,124
1820,1568,123
1830,1962,171
1840,1136,115
1850,1661,125
1860,1680,107
1870,1610,109
1880,1728,137
1890,1734,127
1900,1564,121
1910,1145,138
1920,1581,103
1930,1470,102
1940,1519,104
1950,1484,121
1960,1797,156
1970,1225,119
1980,1529,120
1990,1225,107
2000,1621,106
2010,1539,141
2020,2035,171
2030,1308,135
2040,1820,119
2050,1619,119
2060,1696,143
2070,1634,111
2080,1283,107
2090,1590,144
2100,2012,135
2110,1799,153
2120,2131,202
2130,1689,126
2140,1997,217
2150,1394,146
2160,1441,129
2170,1390,110
2180,2019,100
2190,1734,111
2200,1941,122
2210,2151,201
