object_counts,physics_update_elapsed_time,render_elapsed_time
10,1126,71
20,300,20
30,463,12
40,407,26
50,423,22
60,407,98
70,423,87
80,306,91
90,355,71
100,320,67
110,398,80
120,403,98
130,305,78
140,418,90
150,447,100
160,638,109
170,464,105
180,464,119
190,326,103
200,333,97
210,371,102
220,331,91
230,410,110
240,425,78
250,324,70
260,457,98
270,461,90
280,457,88
290,474,93
300,349,86
310,334,84
320,457,89
330,471,75
340,488,90
350,370,107
360,464,94
370,502,106
380,653,89
390,495,67
400,337,73
410,420,70
420,491,80
430,530,71
440,524,79
450,467,82
460,438,97
470,354,109
480,413,76
490,503,107
500,497,80
510,483,154
520,597,121
530,538,101
540,642,91
550,598,100
560,530,102
570,546,76
580,531,292
590,544,97
600,529,96
610,437,95
620,640,109
630,595,115
640,638,81
650,479,117
660,537,95
670,537,79
680,564,67
690,476,64
700,613,72
710,526,89
720,607,101
730,708,98
740,627,88
750,644,81
760,760,86
770,675,81
780,748,125
790,673,84
800,663,80
810,535,112
820,733,115
830,687,70
840,706,66
850,702,96
860,700,102
870,805,100
880,954,101
890,723,79
900,675,69
910,787,89
920,754,78
930,641,71
940,606,58
950,596,54
960,611,54
970,660,93
980,740,71
990,767,98
1000,756,92
1010,792,86
1020,713,80
1030,803,79
1040,811,95
1050,1028,100
1060,813,82
1070,822,98
1080,820,103
1090,866,107
1100,893,115
1110,1046,123
1120,1046,105
1130,869,93
1140,794,103
1150,884,73
1160,912,99
1170,967,100
1180,907,84
1190,772,114
1200,905,92
1210,923,76
1220,1152,95
1230,874,83
1240,936,82
1250,965,75
1260,830,74
1270,927,76
1280,1220,109
1290,940,126
1300,994,122
1310,998,126
1320,1170,93
1330,1193,112
1340,1269,106
1350,998,105
1360,1035,120
1370,1044,92
1380,1056,71
1390,914,86
1400,1045,94
1410,1030,86
1420,995,142
1430,1186,85
1440,1074,121
1450,1018,76
1460,973,102
1470,877,112
1480,1261,141
1490,1044,112
1500,952,111
1510,1060,73
1520,1138,70
1530,1155,76
1540,1007,83
1550,967,123
1560,1435,64
1570,1401,101
1580,1013,86
1590,1101,87
1600,1291,120
1610,1172,104
1620,1388,84
1630,1164,100
1640,1129,94
1650,1116,102
1660,971,126
1670,1020,119
1680,1168,85
1690,1038,125
1700,1147,86
1710,1029,83
1720,1102,75
1730,1142,229
1740,989,74
1750,1025,151
1760,1140,87
1770,1012,79
1780,1168,95
1790,1148,179
1800,1197,74
1810,1161,105
1820,1448,81
1830,1204,75
1840,1006,101
1850,1127,118
1860,1179,144
1870,1461,109
1880,1347,69
1890,1389,84
1900,1010,90
1910,1481,111
1920,1020,97
1930,1166,137
1940,1206,93
1950,1116,90
1960,1263,110
1970,1051,132
1980,1241,125
1990,1218,125
2000,1202,104
2010,1230,95
2020,1278,105
2030,1378,116
2040,1201,107
2050,1217,92
2060,1377,113
2070,1127,87
2080,1256,103
2090,1306,113
2100,1407,110
2110,1219,81
2120,1216,95
2130,1443,87
2140,1297,111
2150,1204,92
2160,1103,75
2170,1539,101
2180,1309,115
2190,1560,160
2200,1755,89
2210,1333,89
2220,1422,92
2230,1580,139
2240,1554,328
2250,1072,115
2260,1246,86
2270,1240,123
2280,1226,85
2290,1361,99
2300,1578,88
2310,1594,127
2320,1525,113
2330,1250,95
2340,1332,115
2350,1467,110
2360,1289,114
2370,1463,107
2380,1259,92
2390,1235,151
2400,1698,78
2410,1300,66
2420,1303,85
2430,1141,98
2440,1273,114
2450,1253,134
2460,1301,122
2470,1238,96
2480,1256,91
2490,1539,93
2500,1788,111
2510,1196,92
2520,1260,138
2530,1252,121
2540,1205,135
2550,1409,127
2560,1276,118
2570,1623,93
2580,1157,113
2590,1248,123
2600,1340,187
2610,1250,143
2620,1271,117
2630,1285,99
2640,1284,109
2650,1547,121
2660,1789,120
2670,1256,126
2680,1340,137
2690,1476,94
2700,1306,112
2710,1316,128
2720,1187,111
2730,1133,109
2740,1641,111
2750,1789,100
2760,1143,132
2770,1277,128
2780,1191,129
2790,1599,103
2800,1316,115
2810,1680,85
2820,1288,95
2830,1619,92
2840,1300,67
2850,1595,121
2860,1224,174
2870,1564,120
2880,1243,122
2890,1249,100
2900,1337,124
2910,1172,138
2920,1159,135
2930,1206,139
2940,1257,91
2950,1316,98
2960,1338,118
2970,1341,127
2980,1242,105
2990,1311,117
3000,1402,105
3010,1401,115
3020,15944,345
3030,2475,150
3040,1525,161
3050,6098,114
3060,7051,113
3070,1509,113
3080,2160,135
3090,1387,116
3100,1456,135
3110,1138,120
3120,1405,132
3130,1471,106
3140,1527,125
3150,1630,131
3160,1595,121
3170,1545,127
3180,1208,118
3190,1691,112
3200,1680,115
3210,1629,119
3220,1619,119
3230,1396,74
3240,1622,127
3250,1783,103
3260,1749,129
3270,1478,136
3280,1460,117
3290,1496,135
3300,1627,113
3310,1458,125
3320,1523,125
3330,1694,99
3340,1739,75
3350,1652,92
3360,1722,136
3370,1827,130
3380,1624,112
3390,1192,82
3400,1832,120
3410,1759,100
3420,2017,118
3430,1800,122
3440,1523,123
3450,1638,99
3460,1518,130
3470,1952,110
3480,1675,156
3490,1798,104
3500,1598,136
3510,1882,115
3520,1820,95
3530,1631,123
3540,1778,165
3550,1592,99
3560,1998,128
3570,1312,97
3580,2037,123
3590,1672,77
3600,1690,85
3610,1948,107
3620,1817,121
3630,2003,105
3640,2102,121
3650,1732,115
3660,2063,102
3670,1821,97
3680,1626,128
3690,2028,95
3700,1882,99
3710,1399,157
3720,2074,106
3730,2011,149
3740,2087,122
3750,1601,107
3760,2176,133
3770,1795,119
3780,1775,124
3790,1552,98
3800,1993,86
3810,1849,111
3820,1907,120
3830,1997,142
3840,1855,147
3850,1838,108
3860,2175,135
3870,1452,120
3880,1847,122
3890,2211,198
3900,1835,109
3910,2081,127
3920,1860,122
3930,1808,151
3940,2109,104
3950,2384,93
3960,1912,102
3970,1567,145
3980,2253,123
3990,1872,114
4000,2075,113
4010,2048,215
4020,2062,112
4030,2145,112
4040,1692,145
4050,2352,119
4060,1936,117
4070,2176,120
4080,2351,122
4090,1973,93
4100,1962,118
4110,2316,100
4120,2448,94
4130,2012,157
4140,2202,108
4150,2422,119
4160,1709,107
4170,1740,132
4180,2404,126
4190,1984,140
4200,2208,130
4210,1717,135
4220,2130,140
4230,2269,135
4240,2441,119
4250,2430,116
4260,1747,137
4270,2408,120
4280,2177,108
4290,2301,123
4300,1873,133
4310,2406,147
4320,2384,122
4330,2317,126
4340,2438,132
4350,2036,106
4360,2384,125
4370,2424,131
4380,2004,123
4390,2153,108
4400,2368,121
4410,1958,131
4420,2185,110
4430,2531,112
4440,1853,116
4450,2103,144
4460,2311,142
4470,1995,144
4480,2153,124
4490,2292,141
4500,2051,111
4510,2139,176
4520,1794,102
4530,2254,130
4540,2393,119
4550,1946,118
4560,2379,133
4570,2476,131
4580,2361,122
4590,2134,124
4600,2197,144
4610,2214,152
4620,2473,136
4630,2609,155
4640,2403,138
4650,2400,137
4660,1976,114
4670,2261,109
4680,2399,140
4690,2125,144
4700,1837,147
4710,2226,125
4720,2444,112
4730,2493,91
4740,2008,132
4750,2334,140
4760,2413,116
4770,2631,134
4780,2609,134
4790,2567,128
4800,2547,147
4810,2408,120
4820,2607,133
4830,2412,128
4840,2493,87
4850,2570,103
4860,2473,143
4870,2498,154
4880,2416,125
4890,2453,132
4900,2502,127
4910,2507,113
4920,2621,129
4930,2432,150
4940,1864,141
4950,2362,126
4960,2413,133
4970,2537,190
4980,1907,131
4990,2535,143
5000,2286,350
5010,1890,87
5020,2507,93
5030,2511,112
5040,2270,143
5050,2223,201
5060,1926,152
5070,1976,141
5080,2464,141
5090,2419,154
5100,2326,121
5110,2117,125
5120,2360,123
5130,2399,129
5140,2656,131
5150,2506,171
5160,1919,125
5170,2148,145
5180,2354,130
5190,2369,155
5200,2480,174
5210,2426,125
