object_counts,gpu_elapsed_time,physics_update_elapsed_time,render_elapsed_time
20,1978.43,2281,2796
40,339.968,552,17
60,264.192,925,99
80,405.504,656,108
100,482.304,788,102
120,672.768,1119,83
140,401.408,684,118
160,571.296,1024,143
180,433.152,700,120
200,563.2,1009,91
220,567.296,1024,94
240,696.32,1271,221
260,784.384,1463,115
280,571.392,1054,105
300,587.776,1073,90
320,565.408,1017,90
340,350.208,605,105
360,561.248,988,78
380,594.944,1077,87
400,416.768,659,118
420,402.56,646,107
440,572.416,1158,96
460,509.952,961,110
480,572.416,990,98
500,330.656,573,108
520,560.128,994,143
540,318.464,551,100
560,654.336,1116,105
580,401.376,650,113
600,367.616,662,110
620,611.328,862,114
640,412.672,654,117
660,415.744,673,118
680,740.352,1028,125
700,423.936,698,114
720,678.816,1231,105
740,627.712,938,114
760,345.024,621,109
780,676.864,1282,108
800,344.064,580,126
820,628.736,1146,102
840,683.008,1151,293
860,337.92,604,111
880,570.368,1027,100
900,413.536,649,123
920,567.296,1011,101
940,299.008,589,114
960,311.296,691,113
980,564.224,1073,102
1000,921.6,1857,108
1020,337.92,611,124
1040,560.096,1027,111
1060,564.256,999,79
1080,559.104,1002,79
1100,388.096,651,119
1120,403.456,687,112
1140,565.248,1058,115
1160,566.272,1042,98
1180,567.296,1011,87
1200,561.056,1033,98
1220,561.152,1029,107
1240,565.248,1047,118
1260,586.752,1057,103
1280,624.64,1087,98
1300,573.44,1182,111
1320,354.144,638,100
1340,717.824,1223,105
1360,358.4,652,105
1380,347.136,605,122
1400,566.272,1022,73
1420,321.536,602,96
1440,555.008,1004,87
1460,561.12,1037,87
1480,591.872,1036,83
1500,432.128,686,132
1520,400.384,653,127
1540,562.176,1014,133
1560,564.256,1021,83
1580,664.576,1172,108
1600,564.224,1012,98
1620,567.296,1025,109
1640,567.296,1023,102
1660,400.384,661,110
1680,409.6,689,112
1700,330.752,601,130
1720,596.992,1071,98
1740,568.32,1031,105
1760,560.16,1015,91
1780,560.224,1008,91
1800,701.44,1201,87
1820,560.128,1014,90
1840,390.144,640,121
1860,606.208,1088,114
1880,600.064,1178,118
1900,538.624,819,116
1920,417.792,668,147
1940,567.296,1052,119
1960,601.088,1183,124
1980,563.168,1093,109
2000,354.304,627,104
2020,379.904,666,117
2040,595.968,1048,99
2060,434.176,887,92
2080,848.896,1337,105
2100,797.696,1289,111
2120,595.968,1165,104
2140,724.992,1160,155
2160,627.84,1113,89
2180,662.528,1294,116
2200,624.64,1086,134
2220,333.824,611,119
2240,391.168,625,115
2260,775.168,1245,106
2280,711.744,1156,87
2300,715.776,1169,100
2320,712.704,1167,162
2340,683.008,1306,126
2360,321.536,606,105
2380,748.544,1403,144
2400,302.016,581,112
2420,319.488,620,120
2440,699.392,1178,103
2460,846.848,1308,105
2480,807.072,1274,99
2500,755.776,1309,112
2520,833.536,1301,103
2540,816.128,1302,113
2560,758.784,1243,117
2580,837.632,1358,126
2600,881.664,1414,120
2620,809.984,1391,104
2640,809.984,1443,114
2660,747.52,1435,157
2680,867.328,1359,105
2700,785.408,1467,130
2720,788.48,1300,122
2740,335.872,625,119
2760,446.464,765,126
2780,323.584,617,128
2800,349.184,659,116
2820,732.16,1248,132
2840,763.904,1251,119
2860,713.856,1174,106
2880,727.04,1178,104
2900,960.512,1531,110
2920,732.16,1245,121
2940,609.28,1119,129
2960,736.256,1246,130
2980,733.28,1336,111
3000,708.512,1165,183
3020,642.048,1123,103
3040,532.576,1094,107
3060,444.416,984,120
3080,345.088,632,118
3100,561.152,1176,135
3120,338.944,604,130
3140,655.36,1221,147
3160,482.304,957,114
3180,337.92,603,143
3200,498.624,970,100
3220,556.992,1090,117
3240,674.816,1226,184
3260,338.816,650,136
3280,445.44,992,128
3300,552.96,1075,130
3320,443.392,937,121
3340,577.536,1211,116
3360,450.56,962,271
3380,438.272,905,116
3400,569.344,1192,145
3420,506.88,1250,143
3440,484.352,1042,125
3460,371.712,624,225
3480,441.312,945,119
3500,437.248,920,118
3520,451.584,933,110
3540,541.696,1251,219
3560,955.392,1622,126
3580,496.64,831,191
3600,531.424,1076,122
3620,458.752,750,137
3640,443.392,741,148
3660,472.064,811,141
3680,452.608,966,139
3700,462.848,983,152
3720,464.896,980,139
3740,400.384,665,115
